"Category","NewPath","SourceFile","Notes"
"logo","public/logos/refuge61-logo-black-white.png","LOGOS REFUGE61\logo HD N&B.png","Primary logo, black & white, transparent PNG"
"logo","public/logos/refuge61-logo-on-stone-grey.pdf","LOGOS REFUGE61\REFUGE61_logo_fond_gris_pierre.pdf","Logo lockup on stone-grey background plate"
"logo","public/logos/refuge61-logo-on-forest-green.pdf","LOGOS REFUGE61\REFUGE61_logo_fond_vert_foret.pdf","Logo lockup on forest-green background plate"
"logo","public/logos/refuge61-logo-on-sage-green.pdf","LOGOS REFUGE61\REFUGE61_logo_fond_vert_sauge.pdf","Logo lockup on sage-green background plate"
"logo","public/logos/refuge61-wordmark-stone-grey.pdf","LOGOS REFUGE61\refuge61_logo_gris_pierre.pdf","Wordmark, stone-grey, transparent"
"logo","public/logos/refuge61-wordmark-forest-green.pdf","LOGOS REFUGE61\refuge61_logo_vert_foret.pdf","Wordmark, forest-green, transparent"
"logo","public/logos/refuge61-wordmark-sage-green.pdf","LOGOS REFUGE61\refuge61_logo_vert_sauge.pdf","Wordmark, sage-green, transparent"
"logo","public/logos/refuge61-logo-header-black.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_header_black.png","2026-08-16 client-final logo delivery. Header (single-line) lockup, opaque black plate, white wordmark, gold/olive 61 degree mark. Used in Version 4 only."
"logo","public/logos/refuge61-logo-header-bone-white.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_header_bone_white.png","Header lockup, opaque bone-white/cream plate, dark green wordmark. Used in Version 4 only."
"logo","public/logos/refuge61-logo-header-forest-green.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_header_forest_green.png","Header lockup, opaque forest-green plate, white wordmark. Version 4's nav logo once scrolled solid (bg-snow) — contrast against the cream nav bar."
"logo","public/logos/refuge61-logo-header-sage-green.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_header_sage_green.png","Header lockup, opaque sage-green plate, dark green wordmark. Supplied but not used in Version 4 — kept for future use."
"logo","public/logos/refuge61-logo-header-stone-gray.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_header_stone_gray.png","Header lockup, opaque stone-grey plate, white wordmark. Supplied but not used in Version 4 — kept for future use."
"logo","public/logos/refuge61-logo-header-white-transparent.png","REFUGE61_logo_header_white_transparent.png (supplied separately, 2026-08-16)","Header lockup, all-white ink, transparent background — no opaque plate. Version 4's nav logo over the transparent Hero state; only legible on dark/photo backgrounds, confirmed by compositing against both bg-snow and bg-charcoal before use."
"logo","public/logos/refuge61-logo-full-black.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_full_black.png","Full lockup (wordmark + BACK TO BASICS), opaque black plate. Supplied but not used in Version 4 — kept for future use."
"logo","public/logos/refuge61-logo-full-bone-white.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_full_bone_white.png","Full lockup, opaque bone-white/cream plate. Supplied but not used in Version 4 — kept for future use."
"logo","public/logos/refuge61-logo-full-forest-green.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_full_forest_green.png","Full lockup, opaque forest-green plate. Version 4's brand-signature mark after Contact (BrandSignature.tsx) — contrast against Contact's bg-cream."
"logo","public/logos/refuge61-logo-full-sage-green.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_full_sage_green.png","Full lockup, opaque sage-green plate. Supplied but not used in Version 4 — kept for future use."
"logo","public/logos/refuge61-logo-full-stone-gray.png","REFUGE61_10_logos_Noman.zip\REFUGE61_logo_full_stone_gray.png","Full lockup, opaque stone-grey plate. Supplied but not used in Version 4 — kept for future use."
"logo","public/logos/refuge61-logo-full-white-transparent.png","REFUGE61_logo_full_white_transparent.png (supplied separately, 2026-08-16)","Full lockup, all-white ink, transparent background. Supplied but not used in Version 4 (no dark-background section suits the full lockup) — kept for future use."
"video","public/videos/refuge61-teaser.mp4","VIDEO+Photos Iphone\Teaser 2606 HD.mp4","Primary teaser/brand film, used in the Cinematic Video section. COMPRESSED 2026-08-06: re-encoded 1920x1080/19.3Mbps/262MB source down to 1280x720, H.264 CRF 31, 80kbps AAC audio, +faststart, 11.3MB (23x reduction), same 112s duration, visually verified against the original. Full-quality original untouched at its source path on Desktop (never deleted from public/, only replaced)."
"video","public/videos/lifestyle-clip-01.MOV","VIDEO+Photos Iphone\IMG_2232.MOV","Handheld iPhone clip, candid lifestyle footage (27MB)"
"video","public/videos/lifestyle-clip-02.MOV","RUSH MISUSAETER\IMG_2104.MOV","Handheld iPhone clip, ski-touring/rush trip footage (43MB)"
"hero","public/images/hero/hero-aerial-sunrise.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkasen aerial sunrise.JPG","Aerial, dawn/dusk light, whole property in snow - top hero candidate"
"hero","public/images/hero/hero-aerial-winter-wide.jpg","PHOTOS DETAIL CHALET\Ute bilder\Flyfoto vinter.JPG","Aerial fisheye, full estate + surrounding fjell, winter dusk"
"hero","public/images/hero/hero-bw-frost-facade.jpg","PHOTOS DETAIL CHALET\Ute bilder\Svart hvitt front.jpg","Black & white, frost-covered carved timber facade - editorial/graphic"
"hero","public/images/hero/hero-bw-facade-east.jpg","PHOTOS DETAIL CHALET\Ute bilder\Svart hvitt front øst fasade 01.jpg","Black & white, east facade, alternate crop/angle of the above"
"hero","public/images/hero/hero-aerial-alt-01.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkasen aerial photos-009.JPG","Aerial daylight alternate"
"hero","public/images/hero/hero-aerial-alt-02.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkasen aerial photos-011.JPG","Aerial daylight alternate"
"hero","public/images/hero/hero-aerial-alt-03.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkasen aerial photos-020.JPG","Aerial daylight alternate"
"architecture","public/images/architecture/architecture-bathhouse-exterior-01.jpg","PHOTOS DETAIL CHALET\Ute bilder\Badehuset ferdig.JPG","Stone-and-glass bathhouse, completed, snow setting"
"architecture","public/images/architecture/architecture-lodge-winter-01.jpg","PHOTOS DETAIL CHALET\Ute bilder\Jakthytta vinter 03.jpg","Main lodge exterior, winter"
"architecture","public/images/architecture/architecture-lodge-exterior-01.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkaasen.JPG","Main lodge exterior"
"architecture","public/images/architecture/architecture-lodge-exterior-02.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkaasen-012.JPG","Exterior detail"
"architecture","public/images/architecture/architecture-lodge-exterior-03.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkaasen-025.JPG","Exterior detail"
"architecture","public/images/architecture/architecture-lodge-exterior-04.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkaasen-059.JPG","Exterior detail"
"architecture","public/images/architecture/architecture-lodge-exterior-05.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkaasen-072.JPG","Exterior detail"
"architecture","public/images/architecture/architecture-lodge-exterior-06.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkaasen-073.JPG","Exterior detail"
"architecture","public/images/architecture/architecture-lodge-exterior-07.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkasen hunting lodge in Gala-006.jpg","Professional exterior photography, large file/high-res"
"architecture","public/images/architecture/architecture-lodge-exterior-08.jpg","PHOTOS DETAIL CHALET\Ute bilder\Bjorkasen hunting lodge in Gala-008.jpg","Professional exterior photography, large file/high-res"
